frame.time_relative,dns.qry.name,dns.flags.recdesired,frame.len
"55.378379000","gustissimo.it","1","73"
"113.074533000","auto-klad.ru","1","72"
"113.079774000","iointegrators.com","1","77"
"113.089497000","daytimeghosthunter.com","1","82"
"113.098636000","sapendolo.it","1","72"
"113.107276000","saharaimport.com","1","76"
"113.111667000","ngoanhien.com","1","73"
"113.116364000","itgeorgia.co","1","72"
"113.121148000","myfantasticpark.es","1","78"
"113.125781000","vinayaprabha.com","1","76"
"113.131209000","sitiweb.us","1","70"
"113.137514000","contentremarketing.com","1","82"
"113.144750000","videofun.me","1","71"
"113.153439000","breezelaw.com","1","73"
"113.161588000","ranocchi.it","1","71"
"113.170061000","22hotmail.com","1","73"
"113.173976000","ana-sofia.pt","1","72"
"113.181168000","abhair.com","1","70"
"65934613.524073000","tripladoppia.com","1","76"
"65934619.891460000","gardeninginflorida.com","1","82"
"65934623.208573000","thepropertyvault.co.uk","1","82"
"65934623.460578000","viahttps.com","1","72"
"65934623.892280000","adverman.com","1","72"
"65934629.515656000","majorleaguelacrosse.com","1","83"
"65934642.231723000","rubenquinones.com","1","77"
"65934642.509142000","kanoon-ansar.org","1","76"
"65934651.831794000","arrabonet.hu","1","72"
"65934651.949784000","wordai.com","1","70"
"65934652.248919000","muhammedmusa.com","1","76"
"65934657.124764000","freepornvideosx.com","1","79"
"65934660.280740000","120shenbing.com","1","75"
"65934662.872021000","onetoshop.nl","1","72"
"65934663.069179000","meditekyazilim.net","1","78"
"65934665.950687000","theexoticpersian.com","1","80"
"65934666.427275000","boh10suphanburi.com","1","79"
"65934672.764255000","overseasmedical.com","1","79"
"65934679.797572000","grandcanyongrandhotel.com","1","85"
"65934699.821685000","boneshoppe.com","1","74"
"65934700.057672000","sweathelp.org","1","73"
"65934702.183642000","c0.pl","1","65"
"65934702.440878000","sipflash.com","1","72"
"65934708.258310000","koopsmodellbau.de","1","77"
"65934718.837526000","lespetiteschoses.com","1","80"
"65934720.884356000","b2b2c.ca","1","68"
"65934723.127655000","pilsnerurquell.com","1","78"
"65934723.256759000","medintime.ru","1","72"
"65934725.674111000","njafe.org","1","69"
"65934731.444736000","djbarryblends.com","1","77"
"65934733.417268000","deine-bahn.de","1","73"
"65934735.653861000","hackthissite.org","1","76"
"65934738.793717000","ereadz.com","1","70"
"65934741.008825000","gurukulonline.com","1","77"
"65934745.918810000","sf-notifications.com","1","80"
"65934752.833573000","capequilog.com","1","74"
"65934753.010398000","greens.my","1","69"
"65934755.346256000","2xfzy.com","1","69"
"65934755.606300000","magic-illusion.ru","1","77"
"65934759.372565000","irflashgame.com","1","75"
"65934759.712420000","solcredito.es","1","73"
"65934761.389821000","go2jump.com","1","71"
"65934761.401898000","millionfareast.com","1","78"
"65934761.518440000","msf.be","1","66"
"65934764.042160000","cellslider.net","1","74"
"65934764.277511000","bhhsneproperties.com","1","80"
"65934766.464848000","skplus.kr","1","69"
"65934766.538681000","empclan.com","1","71"
"65934766.766197000","carolgraykennedy.com","1","80"
"65934769.450745000","kiyimuzik.com","1","73"
"65934769.497794000","yunpda.com","1","70"
"65934769.676301000","valdo.com","1","69"
"65934776.081064000","supportpabiomass.org","1","80"
"65934776.354436000","roche-applied-science.com","1","85"
"65934778.747669000","oneworldinfo.com","1","76"
"65934782.326930000","7apcrshrmanila.org","1","78"
"65934785.479849000","ilikecrochet.com","1","76"
"65934785.760038000","closerdiets.com","1","75"
"65934791.721490000","myface.com","1","70"
"65934799.425329000","megi.cz","1","67"
"65934810.536664000","pces.in","1","67"
"65934820.317449000","originalmagicart.com","1","80"
"65934824.253508000","godo.co.kr","1","70"
"65934828.501210000","ugotrelis.com","1","73"
"65934836.825997000","alb-automobiles.com","1","79"
"65934839.718730000","ok-magazine.ru","1","74"
"65934843.932031000","wiltpr.com","1","70"
"65934850.961729000","dmg-dental.com","1","74"
"65934851.544521000","silkroadtours.com","1","77"
"65934851.577706000","rositehost.com","1","74"
"65934855.369513000","livescan4all.com","1","76"
"65934863.014140000","oberandsons.com","1","75"
"65934865.465460000","celerity.com","1","72"
"65934868.906268000","miscellaneousheathen.com","1","84"
"65934869.246557000","rolflouisville.com","1","78"
"65934872.523498000","jacquelinemertz.ch","1","78"
"65934879.577626000","gaplex.biz","1","70"
"65934879.654639000","frasesdemotivacao.net","1","81"
"65934882.951428000","divefishhouse.com","1","77"
"65934892.724720000","stark.dk","1","68"
"65934895.024259000","xxx-muschis.de","1","74"
"65934897.774445000","florenseusa.com","1","75"
