frame.time_relative,dns.qry.name,dns.flags.recdesired,frame.len
"113.074214000","likeminded.ca","1","73"
"113.076859000","alltransport.ru","1","75"
"65934613.701361000","brown.edu","1","69"
"65934613.967060000","fauzanalfi.com","1","74"
"65934614.104634000","supreetsethi.net","1","76"
"65934619.488984000","gucenmez.com","1","72"
"65934619.676964000","seedy.dk","1","68"
"65934619.716186000","51cdngo.com","1","71"
"65934619.786757000","simple-health-reports.com","1","85"
"65934619.974109000","hivelocitymedia.com","1","79"
"65934626.791140000","jabeye.org","1","70"
"65934629.683277000","ticketbis.com","1","73"
"65934632.919177000","cellularfactory.com","1","79"
"65934638.067453000","tsksv.ru","1","68"
"65934640.057337000","gaybodyblog.com","1","75"
"65934642.432207000","datadikdki.net","1","74"
"65934642.458642000","mumphi.de","1","69"
"65934647.054580000","brfone.com","1","70"
"65934647.378539000","newpages2u.com","1","74"
"65934647.530732000","bigjournalism.com","1","77"
"65934649.434763000","congsoxanh.com","1","74"
"65934654.588935000","visualtap.com","1","73"
"65934654.608943000","oberoncompany.com","1","77"
"65934655.008999000","consejodentistas.org","1","80"
"65934657.407429000","k-dsl.de","1","68"
"65934662.963695000","asip.es","1","67"
"65934663.079110000","androgyn.org","1","72"
"65934666.410730000","panaceadream.com","1","76"
"65934669.396680000","hotel.ch","1","68"
"65934672.608624000","c3budiman.tk","1","72"
"65934673.513302000","obtscan.com","1","71"
"65934682.467409000","phoenix-music.ru","1","76"
"65934682.701470000","motiie.com","1","70"
"65934686.768251000","cncdesign.co.kr","1","75"
"65934699.654532000","udoo24.com","1","70"
"65934699.726110000","ljyelectronic.com","1","77"
"65934704.873842000","bek.ir","1","66"
"65934710.082404000","valerievandenbroek.nl","1","81"
"65934710.846910000","lacuentaperdida.org","1","79"
"65934714.314078000","alkoholiker-clan.de","1","79"
"65934718.639121000","doommovie.com","1","73"
"65934723.627076000","xqgcab.com","1","70"
"65934726.165011000","uanet.net","1","69"
"65934728.014004000","tomorrowsreflection.com","1","83"
"65934730.853011000","lighthouse.cc","1","73"
"65934731.416440000","7sports.jp","1","70"
"65934731.586517000","gamepsvita.com","1","74"
"65934733.551803000","thunderex.com","1","73"
"65934733.718864000","zamlelova.ru","1","72"
"65934735.528112000","atomicbase.com","1","74"
"65934735.529567000","qdushu.com","1","70"
"65934735.698973000","raqualia.com","1","72"
"65934741.083598000","fanzi.pl","1","68"
"65934743.354063000","womenology.com","1","74"
"65934743.695792000","tonaci.com","1","70"
"65934746.209703000","youngsnetwork.it","1","76"
"65934750.160622000","gvowebcast.com","1","74"
"65934752.885577000","aspiringwriter.ca","1","77"
"65934758.120852000","heygal.net","1","70"
"65934759.526956000","mpskota.com","1","71"
"65934761.256878000","ohdev.co.uk","1","71"
"65934763.797080000","topilehtipuu.com","1","76"
"65934766.356329000","thereeftank.com","1","75"
"65934769.046169000","volksschule-neufahrn.de","1","83"
"65934769.470884000","qingjiaopidaiji.com","1","79"
"65934773.135808000","jcwcn.com","1","69"
"65934776.310343000","huhgmbh.com","1","71"
"65934778.785860000","redcrosseth.org","1","75"
"65934785.769874000","lookpage.org","1","72"
"65934786.005551000","mplus.hk","1","68"
"65934786.141858000","sandieskorner.com","1","77"
"65934788.495622000","sinemagrafik.com","1","76"
"65934791.941129000","itattoos.org","1","72"
"65934799.051272000","lgmonitorreview.nl","1","78"
"65934806.548378000","sscw.ee","1","67"
"65934810.053647000","nucre.com","1","69"
"65934810.097433000","cornesoft.com","1","73"
"65934832.411112000","mattselznick.com","1","76"
"65934833.519286000","horn-elektronik.com","1","79"
"65934837.494789000","rousing.dk","1","70"
"65934839.761005000","i12.de","1","66"
"65934843.781991000","casco.com","1","69"
"65934847.682103000","ambassadorsspfhf.org","1","80"
"65934855.541762000","capella.edu","1","71"
"65934862.990295000","nipslab.org","1","71"
"65934862.992294000","webxtrap.com","1","72"
"65934865.841545000","stopallthathating.com","1","81"
"65934866.014998000","ovtoc.com","1","69"
"65934872.500477000","vaco.ru","1","67"
"65934872.628593000","ku.edu","1","66"
"65934875.716549000","amedeos.net","1","71"
"65934889.762380000","thankfullyyours.com","1","79"
"65934892.723599000","elettronix.com","1","74"
"65934892.775333000","meintrendyhandy.de","1","78"
"65934892.982636000","a-loud.com","1","70"
"65934895.055358000","hznzcn.com","1","70"
"65934898.319860000","zilch.org","1","69"
"65934903.599323000","metabans.com","1","72"
"65934904.023847000","tretsomshop.nl","1","74"
"65934907.485713000","gba4iosapp.com","1","74"
