domain,status,query_time_ms
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
likeminded.ca,NOERROR,15
alltransport.ru,NOERROR,15
brown.edu,NOERROR,15
fauzanalfi.com,NOERROR,15
supreetsethi.net,NXDOMAIN,19
gucenmez.com,NOERROR,15
seedy.dk,NOERROR,15
51cdngo.com,NOERROR,839
simple-health-reports.com,NXDOMAIN,23
hivelocitymedia.com,NOERROR,23
jabeye.org,NOERROR,11
ticketbis.com,NOERROR,15
cellularfactory.com,NOERROR,11
tsksv.ru,NOERROR,411
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
gaybodyblog.com,NXDOMAIN,3
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
datadikdki.net,NOERROR,15
mumphi.de,NOERROR,11
gmxwnlajnl,SERVFAIL,0
djoncbjcmv,SERVFAIL,0
mptrmkwart,SERVFAIL,0
djoncbjcmv,SERVFAIL,0
gmxwnlajnl,SERVFAIL,0
mptrmkwart,SERVFAIL,0
brfone.com,NOERROR,11
newpages2u.com,NOERROR,11
bigjournalism.com,NOERROR,19
congsoxanh.com,NOERROR,23
visualtap.com,NOERROR,15
oberoncompany.com,NOERROR,11
consejodentistas.org,NOERROR,15
k-dsl.de,NXDOMAIN,79
asip.es,NXDOMAIN,15
androgyn.org,NOERROR,11
panaceadream.com,NXDOMAIN,19
hotel.ch,NOERROR,19
c3budiman.tk,NXDOMAIN,151
obtscan.com,NXDOMAIN,19
phoenix-music.ru,NXDOMAIN,799
motiie.com,NXDOMAIN,19
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
cncdesign.co.kr,NOERROR,15
udoo24.com,NOERROR,83
ljyelectronic.com,NOERROR,15
bek.ir,NXDOMAIN,371
valerievandenbroek.nl,NXDOMAIN,19
lacuentaperdida.org,NXDOMAIN,11
alkoholiker-clan.de,NOERROR,15
doommovie.com,NOERROR,19
xqgcab.com,NXDOMAIN,19
uanet.net,NOERROR,263
tomorrowsreflection.com,NOERROR,15
lighthouse.cc,NOERROR,251
7sports.jp,NOERROR,283
gamepsvita.com,NOERROR,19
thunderex.com,NOERROR,15
zamlelova.ru,NOERROR,15
atomicbase.com,NOERROR,11
qdushu.com,NXDOMAIN,19
raqualia.com,NOERROR,11
fanzi.pl,NXDOMAIN,15
womenology.com,NOERROR,15
tonaci.com,NOERROR,11
youngsnetwork.it,NXDOMAIN,15
gvowebcast.com,NOERROR,15
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
aspiringwriter.ca,NXDOMAIN,11
heygal.net,NXDOMAIN,19
mpskota.com,NOERROR,19
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
ohdev.co.uk,NOERROR,15
topilehtipuu.com,NOERROR,11
thereeftank.com,NOERROR,19
volksschule-neufahrn.de,NXDOMAIN,83
qingjiaopidaiji.com,NXDOMAIN,27
jcwcn.com,NOERROR,23
huhgmbh.com,NOERROR,15
redcrosseth.org,NOERROR,15
lookpage.org,NXDOMAIN,19
mplus.hk,NOERROR,19
sandieskorner.com,NXDOMAIN,19
sinemagrafik.com,NXDOMAIN,15
itattoos.org,NXDOMAIN,107
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
lgmonitorreview.nl,NXDOMAIN,15
sscw.ee,NOERROR,11
nucre.com,NOERROR,11
cornesoft.com,NXDOMAIN,19
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
mattselznick.com,NOERROR,79
horn-elektronik.com,NOERROR,15
rousing.dk,NOERROR,15
i12.de,NOERROR,15
casco.com,NOERROR,19
ambassadorsspfhf.org,NXDOMAIN,15
wpad,SERVFAIL,0
wpad,SERVFAIL,3
wpad,SERVFAIL,0
wpad,SERVFAIL,0
capella.edu,NOERROR,11
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
nipslab.org,NOERROR,11
webxtrap.com,NOERROR,15
stopallthathating.com,NXDOMAIN,23
ovtoc.com,NOERROR,11
vaco.ru,NOERROR,407
ku.edu,NOERROR,15
amedeos.net,NOERROR,11
thankfullyyours.com,NOERROR,15
elettronix.com,NOERROR,15
meintrendyhandy.de,NOERROR,383
a-loud.com,NOERROR,11
hznzcn.com,NOERROR,263
zilch.org,NOERROR,15
metabans.com,NOERROR,15
tretsomshop.nl,NOERROR,15
gba4iosapp.com,NOERROR,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
