domain,status,latency_ms,frame_len
tuhafhaberler.com,FAILED,35.69793701171875,77.0
rtsab.com,FAILED,31.619787216186523,69.0
i-butterfly.ru,SUCCESS,39.09921646118164,74.0
datepanchang.com,SUCCESS,85.49666404724121,76.0
localhost.re,SUCCESS,33.14685821533203,72.0
daehepharma.com,FAILED,34.41929817199707,75.0
ex-jw.org,SUCCESS,95.86644172668457,69.0
us.tf,FAILED,4441.33996963501,65.0
informarexresistere.fr,SUCCESS,32.219648361206055,82.0
running-sigi.de,FAILED,92.70429611206055,75.0
buynowfromusa.com,SUCCESS,40.55285453796387,77.0
pbprofile.com,FAILED,35.87675094604492,73.0
fini.net,SUCCESS,288.0980968475342,68.0
globalpoliticalspectrum.com,FAILED,38.65313529968262,87.0
41latitude.com,FAILED,125.08010864257812,74.0
zzxu.cn,FAILED,430.12380599975586,67.0
energybulbs.co.uk,SUCCESS,381.96492195129395,77.0
o-ov.com,FAILED,321.1376667022705,68.0
lozo.com,SUCCESS,37.1854305267334,68.0
tottenhamhk.com,FAILED,36.42988204956055,75.0
newstetic.com,SUCCESS,35.5987548828125,73.0
triggerfish.se,SUCCESS,386.54184341430664,74.0
reprosystems.ru,SUCCESS,34.76095199584961,75.0
interfloracentral.co.uk,SUCCESS,726.0534763336182,83.0
afairjudgement.com,SUCCESS,275.1903533935547,78.0
owlcreek.com,SUCCESS,33.28537940979004,72.0
radioterminal.ru,SUCCESS,1419.2628860473633,76.0
junio.com,SUCCESS,30.106782913208008,69.0
ditrblog.com,FAILED,36.89265251159668,72.0
alchemedialtd.com,SUCCESS,30.426740646362305,77.0
portclydegeneralstore.com,SUCCESS,150.43282508850098,85.0
alenpuaca.com,SUCCESS,285.7930660247803,73.0
dj-producer-j-mbargo.com,FAILED,37.37902641296387,84.0
iag-inc.com,SUCCESS,344.6793556213379,71.0
advertos.ru,SUCCESS,825.2966403961182,71.0
kh.ua,SUCCESS,34.51371192932129,65.0
kennethehartman.com,SUCCESS,40.322065353393555,79.0
hemcolubricants.com,SUCCESS,32.87553787231445,79.0
forpsi.net,SUCCESS,376.57642364501953,70.0
memeblender.com,SUCCESS,32.50885009765625,75.0
somode.com,FAILED,36.726951599121094,70.0
gamemob.com,SUCCESS,34.447669982910156,71.0
monsterhomesecuritystore.com,FAILED,41.187286376953125,88.0
door2games.com,SUCCESS,36.21196746826172,74.0
ondemandappliancerepair.com,SUCCESS,33.1120491027832,87.0
gensee.com,SUCCESS,36.92889213562012,70.0
caricsports.com,SUCCESS,35.9644889831543,75.0
auqzzx.com,FAILED,39.39509391784668,70.0
toaskfuture.com,SUCCESS,31.571626663208008,75.0
cetsi.fr,SUCCESS,31.68511390686035,68.0
probigbets.com,FAILED,37.755727767944336,74.0
bikesandtransit.com,SUCCESS,42.34671592712402,79.0
aqvr.com,SUCCESS,265.9337520599365,68.0
niceinternetmoney.ru,FAILED,844.9714183807373,80.0
chonvn.com,FAILED,34.67416763305664,70.0
eugenbotnar.com,FAILED,39.32690620422363,75.0
phi-pe.com,FAILED,95.05629539489746,70.0
chuamatsua.com,FAILED,374.52054023742676,74.0
pictures-thailand.com,SUCCESS,30.570268630981445,81.0
2brightsparks.co.uk,SUCCESS,40.37117958068848,79.0
astrumonline.ru,SUCCESS,805.5076599121094,75.0
blueridgelife.com,SUCCESS,31.76140785217285,77.0
mwzip.com,SUCCESS,39.46280479431152,69.0
gusbi.com,SUCCESS,32.21392631530762,69.0
simternet.com,SUCCESS,30.495405197143555,73.0
khsm.ru,SUCCESS,692.3365592956543,67.0
livelinks.com,SUCCESS,36.43012046813965,73.0
jantv.in,SUCCESS,39.79301452636719,68.0
hornil.com,SUCCESS,31.36920928955078,70.0
7dfps.com,SUCCESS,44.52204704284668,69.0
luckypuppygames.com,SUCCESS,283.3402156829834,79.0
b-matrix.com,SUCCESS,99.50757026672363,72.0
coutureauchocolat.com,FAILED,35.90106964111328,81.0
afresnohomeinspector.com,SUCCESS,31.368017196655273,84.0
pieceinch.com,SUCCESS,32.92679786682129,73.0
australiatradenow.com,SUCCESS,37.83249855041504,81.0
diamondknot.com,SUCCESS,34.288883209228516,75.0
amorefieldlife.com,SUCCESS,34.003257751464844,78.0
sheltercoveinn.com,FAILED,517.6072120666504,78.0
wrestlingfanssuck.com,SUCCESS,33.91385078430176,81.0
sdccdonline.net,SUCCESS,33.81085395812988,75.0
autofirenze.biz,SUCCESS,33.58292579650879,75.0
house-sg.com,SUCCESS,349.9102592468262,72.0
camcard.com,SUCCESS,35.301923751831055,71.0
ppsuika.ac.id,SUCCESS,32.11259841918945,73.0
healthnews4you.com,SUCCESS,31.475067138671875,78.0
stunninggirls.net,SUCCESS,31.126976013183594,77.0
kathihill.com,SUCCESS,30.190467834472656,73.0
linksplash.info,FAILED,94.06137466430664,75.0
group14eng.com,SUCCESS,29.190540313720703,74.0
shqqaa.com,SUCCESS,36.61227226257324,70.0
mesites.co.za,SUCCESS,32.18889236450195,73.0
progettogiovani.pd.it,SUCCESS,30.711889266967773,81.0
uahoy.net,FAILED,37.183523178100586,69.0
retiragroup.com,FAILED,271.0399627685547,75.0
effexdjs.com,FAILED,247.62964248657227,72.0
mysearch-online.com,FAILED,36.87405586242676,79.0
asadventure.com,SUCCESS,34.36446189880371,75.0
michiganbulb.com,SUCCESS,29.623746871948242,76.0
shivalikprints.com,SUCCESS,31.79645538330078,78.0
