domain,status,query_time_ms
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
tuhafhaberler.com,,0
rtsab.com,,0
i-butterfly.ru,,0
datepanchang.com,,0
localhost.re,NOERROR,1695
daehepharma.com,NOERROR,263
ex-jw.org,NOERROR,11
us.tf,,0
informarexresistere.fr,NOERROR,15
running-sigi.de,NXDOMAIN,75
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
buynowfromusa.com,NOERROR,19
pbprofile.com,NXDOMAIN,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
fini.net,NOERROR,15
gmxwnlajnl,SERVFAIL,0
djoncbjcmv,SERVFAIL,0
mptrmkwart,SERVFAIL,0
djoncbjcmv,SERVFAIL,0
gmxwnlajnl,SERVFAIL,0
mptrmkwart,SERVFAIL,0
globalpoliticalspectrum.com,NXDOMAIN,15
41latitude.com,NOERROR,15
zzxu.cn,NOERROR,391
energybulbs.co.uk,NOERROR,15
o-ov.com,SERVFAIL,371
lozo.com,NOERROR,19
tottenhamhk.com,NXDOMAIN,19
newstetic.com,NOERROR,19
triggerfish.se,NOERROR,355
reprosystems.ru,NOERROR,15
interfloracentral.co.uk,NOERROR,11
afairjudgement.com,NOERROR,23
owlcreek.com,NOERROR,15
radioterminal.ru,NOERROR,399
junio.com,NOERROR,15
ditrblog.com,NXDOMAIN,19
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
alchemedialtd.com,NOERROR,11
portclydegeneralstore.com,NOERROR,79
alenpuaca.com,NOERROR,11
dj-producer-j-mbargo.com,NXDOMAIN,15
iag-inc.com,NOERROR,15
advertos.ru,NOERROR,15
kh.ua,NOERROR,15
kennethehartman.com,NOERROR,15
hemcolubricants.com,NOERROR,11
forpsi.net,NOERROR,315
memeblender.com,NOERROR,19
somode.com,NXDOMAIN,19
gamemob.com,NOERROR,11
monsterhomesecuritystore.com,NXDOMAIN,19
door2games.com,NOERROR,15
ondemandappliancerepair.com,NOERROR,15
gensee.com,NOERROR,19
caricsports.com,NOERROR,19
auqzzx.com,NXDOMAIN,15
toaskfuture.com,NOERROR,43
cetsi.fr,NOERROR,19
probigbets.com,NXDOMAIN,83
bikesandtransit.com,NOERROR,11
aqvr.com,NOERROR,299
niceinternetmoney.ru,NXDOMAIN,647
isatap,SERVFAIL,0
isatap,SERVFAIL,3
isatap,SERVFAIL,0
isatap,SERVFAIL,0
chonvn.com,NXDOMAIN,79
eugenbotnar.com,NXDOMAIN,19
phi-pe.com,NXDOMAIN,19
chuamatsua.com,SERVFAIL,239
pictures-thailand.com,NOERROR,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
2brightsparks.co.uk,NOERROR,23
astrumonline.ru,NOERROR,791
blueridgelife.com,NOERROR,15
mwzip.com,NOERROR,15
gusbi.com,NOERROR,11
simternet.com,NOERROR,11
khsm.ru,NOERROR,11
livelinks.com,NOERROR,15
jantv.in,NOERROR,19
hornil.com,NOERROR,11
7dfps.com,NOERROR,23
luckypuppygames.com,NOERROR,279
b-matrix.com,NOERROR,19
coutureauchocolat.com,NXDOMAIN,23
afresnohomeinspector.com,NOERROR,579
pieceinch.com,NOERROR,15
australiatradenow.com,NOERROR,15
diamondknot.com,NOERROR,79
amorefieldlife.com,NOERROR,11
sheltercoveinn.com,NOERROR,19
wrestlingfanssuck.com,NOERROR,15
sdccdonline.net,NOERROR,19
autofirenze.biz,NOERROR,43
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
house-sg.com,NOERROR,339
camcard.com,NOERROR,11
ppsuika.ac.id,NOERROR,11
healthnews4you.com,NOERROR,15
stunninggirls.net,NOERROR,11
isatap,SERVFAIL,3
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
kathihill.com,NOERROR,15
linksplash.info,NXDOMAIN,79
group14eng.com,NOERROR,15
shqqaa.com,NOERROR,19
mesites.co.za,NOERROR,15
progettogiovani.pd.it,NOERROR,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
uahoy.net,NXDOMAIN,19
retiragroup.com,NXDOMAIN,31
effexdjs.com,NXDOMAIN,23
mysearch-online.com,NXDOMAIN,15
asadventure.com,NOERROR,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
michiganbulb.com,NOERROR,79
wpad,SERVFAIL,3
wpad,SERVFAIL,0
shivalikprints.com,NOERROR,19
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
