domain,status,latency_ms,frame_len
likeminded.ca,SUCCESS,21.348237991333008,73.0
alltransport.ru,SUCCESS,19.774436950683594,75.0
brown.edu,SUCCESS,19.191503524780273,69.0
fauzanalfi.com,FAILED,20.633697509765625,74.0
supreetsethi.net,FAILED,23.50926399230957,76.0
gucenmez.com,SUCCESS,20.29705047607422,72.0
seedy.dk,SUCCESS,21.779775619506836,68.0
51cdngo.com,FAILED,2263.6091709136963,71.0
simple-health-reports.com,FAILED,28.1522274017334,85.0
hivelocitymedia.com,SUCCESS,20.864248275756836,79.0
jabeye.org,SUCCESS,21.085739135742188,70.0
ticketbis.com,FAILED,85.82329750061035,73.0
cellularfactory.com,SUCCESS,20.544767379760742,79.0
tsksv.ru,SUCCESS,21.227598190307617,68.0
gaybodyblog.com,SUCCESS,28.700828552246094,75.0
datadikdki.net,SUCCESS,267.12560653686523,74.0
mumphi.de,SUCCESS,21.652936935424805,69.0
brfone.com,SUCCESS,20.265817642211914,70.0
newpages2u.com,SUCCESS,21.001338958740234,74.0
bigjournalism.com,SUCCESS,85.31713485717773,77.0
congsoxanh.com,SUCCESS,265.9735679626465,74.0
visualtap.com,SUCCESS,27.233362197875977,73.0
oberoncompany.com,SUCCESS,28.502702713012695,77.0
consejodentistas.org,SUCCESS,21.948575973510742,80.0
k-dsl.de,FAILED,178.00474166870117,68.0
asip.es,FAILED,23.004531860351562,67.0
androgyn.org,SUCCESS,23.22530746459961,72.0
panaceadream.com,FAILED,25.311708450317383,76.0
hotel.ch,SUCCESS,26.866912841796875,68.0
c3budiman.tk,FAILED,156.39305114746094,72.0
obtscan.com,FAILED,24.42145347595215,71.0
phoenix-music.ru,FAILED,834.3040943145752,76.0
motiie.com,FAILED,23.83899688720703,70.0
cncdesign.co.kr,SUCCESS,784.1691970825195,75.0
udoo24.com,SUCCESS,20.635128021240234,70.0
ljyelectronic.com,SUCCESS,116.26744270324707,77.0
bek.ir,FAILED,21.130084991455078,66.0
valerievandenbroek.nl,FAILED,21.105289459228516,81.0
lacuentaperdida.org,FAILED,20.73502540588379,79.0
alkoholiker-clan.de,SUCCESS,24.4753360748291,79.0
doommovie.com,SUCCESS,20.36595344543457,73.0
xqgcab.com,FAILED,26.209115982055664,70.0
uanet.net,SUCCESS,257.79271125793457,69.0
tomorrowsreflection.com,SUCCESS,22.017717361450195,83.0
lighthouse.cc,SUCCESS,21.00682258605957,73.0
7sports.jp,SUCCESS,182.91068077087402,70.0
gamepsvita.com,SUCCESS,30.92169761657715,74.0
thunderex.com,SUCCESS,86.21668815612793,73.0
zamlelova.ru,SUCCESS,21.75140380859375,72.0
atomicbase.com,SUCCESS,20.758628845214844,74.0
qdushu.com,SUCCESS,87.19229698181152,70.0
raqualia.com,FAILED,19.860506057739258,72.0
fanzi.pl,FAILED,25.849580764770508,68.0
womenology.com,SUCCESS,28.066396713256836,74.0
tonaci.com,SUCCESS,21.294832229614258,70.0
youngsnetwork.it,FAILED,22.371530532836914,76.0
gvowebcast.com,SUCCESS,27.132749557495117,74.0
aspiringwriter.ca,FAILED,22.013425827026367,77.0
heygal.net,FAILED,83.10985565185547,70.0
mpskota.com,SUCCESS,22.253990173339844,71.0
ohdev.co.uk,SUCCESS,28.766632080078125,71.0
topilehtipuu.com,SUCCESS,20.345687866210938,76.0
thereeftank.com,SUCCESS,32.88745880126953,75.0
volksschule-neufahrn.de,FAILED,403.7351608276367,83.0
qingjiaopidaiji.com,FAILED,25.271892547607422,79.0
jcwcn.com,SUCCESS,21.332979202270508,69.0
huhgmbh.com,SUCCESS,21.63863182067871,71.0
redcrosseth.org,SUCCESS,23.968219757080078,75.0
lookpage.org,FAILED,25.281190872192383,72.0
mplus.hk,SUCCESS,451.36547088623047,68.0
sandieskorner.com,FAILED,25.592565536499023,77.0
sinemagrafik.com,FAILED,26.839494705200195,76.0
itattoos.org,FAILED,114.55011367797852,72.0
lgmonitorreview.nl,FAILED,26.671409606933594,78.0
sscw.ee,SUCCESS,21.42930030822754,67.0
nucre.com,SUCCESS,21.618366241455078,69.0
cornesoft.com,FAILED,24.913549423217773,73.0
mattselznick.com,SUCCESS,287.45269775390625,76.0
horn-elektronik.com,SUCCESS,22.237062454223633,79.0
rousing.dk,SUCCESS,829.9744129180908,70.0
i12.de,FAILED,28.743743896484375,66.0
casco.com,SUCCESS,22.583723068237305,69.0
ambassadorsspfhf.org,FAILED,112.27250099182129,80.0
capella.edu,SUCCESS,32.927751541137695,71.0
nipslab.org,SUCCESS,398.55265617370605,71.0
webxtrap.com,SUCCESS,382.01332092285156,72.0
stopallthathating.com,FAILED,28.66530418395996,81.0
ovtoc.com,SUCCESS,25.413036346435547,69.0
vaco.ru,SUCCESS,408.02812576293945,67.0
ku.edu,SUCCESS,289.2425060272217,66.0
amedeos.net,SUCCESS,87.96429634094238,71.0
thankfullyyours.com,SUCCESS,83.06169509887695,79.0
elettronix.com,SUCCESS,23.339271545410156,74.0
meintrendyhandy.de,SUCCESS,22.833824157714844,78.0
a-loud.com,SUCCESS,161.6063117980957,70.0
hznzcn.com,SUCCESS,506.44493103027344,70.0
zilch.org,SUCCESS,19.94800567626953,69.0
metabans.com,SUCCESS,20.052433013916016,72.0
tretsomshop.nl,SUCCESS,298.05445671081543,74.0
gba4iosapp.com,SUCCESS,23.453474044799805,74.0
