domain,status,latency_ms,frame_len
likeminded.ca,SUCCESS,162.95528411865234,73.0
alltransport.ru,SUCCESS,157.28068351745605,75.0
brown.edu,SUCCESS,169.97480392456055,69.0
fauzanalfi.com,SUCCESS,155.80368041992188,74.0
supreetsethi.net,SUCCESS,148.51021766662598,76.0
gucenmez.com,SUCCESS,159.8799228668213,72.0
seedy.dk,SUCCESS,144.34313774108887,68.0
51cdngo.com,SUCCESS,145.6625461578369,71.0
simple-health-reports.com,SUCCESS,148.8187313079834,85.0
hivelocitymedia.com,SUCCESS,144.00458335876465,79.0
jabeye.org,SUCCESS,149.9803066253662,70.0
ticketbis.com,SUCCESS,146.1961269378662,73.0
cellularfactory.com,SUCCESS,148.6499309539795,79.0
tsksv.ru,SUCCESS,159.52205657958984,68.0
gaybodyblog.com,SUCCESS,145.38145065307617,75.0
datadikdki.net,SUCCESS,161.14473342895508,74.0
mumphi.de,SUCCESS,150.7256031036377,69.0
brfone.com,SUCCESS,161.99660301208496,70.0
newpages2u.com,SUCCESS,144.61421966552734,74.0
bigjournalism.com,SUCCESS,145.18260955810547,77.0
congsoxanh.com,SUCCESS,165.04406929016113,74.0
visualtap.com,SUCCESS,157.87124633789062,73.0
oberoncompany.com,SUCCESS,145.94078063964844,77.0
consejodentistas.org,SUCCESS,164.60657119750977,80.0
k-dsl.de,SUCCESS,144.8075771331787,68.0
asip.es,SUCCESS,148.80752563476562,67.0
androgyn.org,SUCCESS,151.3667106628418,72.0
panaceadream.com,SUCCESS,180.6962490081787,76.0
hotel.ch,SUCCESS,157.52100944519043,68.0
c3budiman.tk,SUCCESS,155.90524673461914,72.0
obtscan.com,SUCCESS,161.72146797180176,71.0
phoenix-music.ru,SUCCESS,183.14313888549805,76.0
motiie.com,SUCCESS,145.2467441558838,70.0
cncdesign.co.kr,SUCCESS,145.49851417541504,75.0
udoo24.com,SUCCESS,148.36764335632324,70.0
ljyelectronic.com,SUCCESS,150.2058506011963,77.0
bek.ir,SUCCESS,156.16536140441895,66.0
valerievandenbroek.nl,SUCCESS,161.0095500946045,81.0
lacuentaperdida.org,SUCCESS,149.88112449645996,79.0
alkoholiker-clan.de,SUCCESS,167.7837371826172,79.0
doommovie.com,SUCCESS,165.8170223236084,73.0
xqgcab.com,SUCCESS,162.19425201416016,70.0
uanet.net,SUCCESS,148.3757495880127,69.0
tomorrowsreflection.com,SUCCESS,144.5908546447754,83.0
lighthouse.cc,SUCCESS,143.66626739501953,73.0
7sports.jp,SUCCESS,146.94762229919434,70.0
gamepsvita.com,SUCCESS,146.36754989624023,74.0
thunderex.com,SUCCESS,158.03933143615723,73.0
zamlelova.ru,SUCCESS,146.32844924926758,72.0
atomicbase.com,SUCCESS,163.69342803955078,74.0
qdushu.com,SUCCESS,160.65120697021484,70.0
raqualia.com,SUCCESS,150.44832229614258,72.0
fanzi.pl,SUCCESS,156.19635581970215,68.0
womenology.com,SUCCESS,160.25257110595703,74.0
tonaci.com,SUCCESS,148.62513542175293,70.0
youngsnetwork.it,SUCCESS,149.81603622436523,76.0
gvowebcast.com,SUCCESS,157.29641914367676,74.0
aspiringwriter.ca,SUCCESS,145.71094512939453,77.0
heygal.net,SUCCESS,151.55863761901855,70.0
mpskota.com,SUCCESS,153.35679054260254,71.0
ohdev.co.uk,SUCCESS,145.55001258850098,71.0
topilehtipuu.com,SUCCESS,145.28393745422363,76.0
thereeftank.com,SUCCESS,168.53642463684082,75.0
volksschule-neufahrn.de,SUCCESS,148.4532356262207,83.0
qingjiaopidaiji.com,SUCCESS,143.90254020690918,79.0
jcwcn.com,SUCCESS,147.61710166931152,69.0
huhgmbh.com,SUCCESS,168.31231117248535,71.0
redcrosseth.org,SUCCESS,159.745454788208,75.0
lookpage.org,SUCCESS,167.59800910949707,72.0
mplus.hk,SUCCESS,145.6449031829834,68.0
sandieskorner.com,SUCCESS,152.984619140625,77.0
sinemagrafik.com,SUCCESS,144.14453506469727,76.0
itattoos.org,SUCCESS,146.34108543395996,72.0
lgmonitorreview.nl,SUCCESS,144.41776275634766,78.0
sscw.ee,SUCCESS,142.94123649597168,67.0
nucre.com,SUCCESS,144.3314552307129,69.0
cornesoft.com,SUCCESS,164.96920585632324,73.0
mattselznick.com,SUCCESS,144.6831226348877,76.0
horn-elektronik.com,SUCCESS,160.20822525024414,79.0
rousing.dk,SUCCESS,148.14138412475586,70.0
i12.de,SUCCESS,156.23760223388672,66.0
casco.com,SUCCESS,147.33457565307617,69.0
ambassadorsspfhf.org,SUCCESS,162.6596450805664,80.0
capella.edu,SUCCESS,145.30420303344727,71.0
nipslab.org,SUCCESS,150.02870559692383,71.0
webxtrap.com,SUCCESS,143.96357536315918,72.0
stopallthathating.com,SUCCESS,169.81220245361328,81.0
ovtoc.com,SUCCESS,145.54762840270996,69.0
vaco.ru,SUCCESS,169.06070709228516,67.0
ku.edu,SUCCESS,162.45698928833008,66.0
amedeos.net,SUCCESS,157.1946144104004,71.0
thankfullyyours.com,SUCCESS,145.0939178466797,79.0
elettronix.com,SUCCESS,149.26648139953613,74.0
meintrendyhandy.de,SUCCESS,143.45622062683105,78.0
a-loud.com,SUCCESS,147.7348804473877,70.0
hznzcn.com,SUCCESS,146.09789848327637,70.0
zilch.org,SUCCESS,144.75607872009277,69.0
metabans.com,SUCCESS,156.0664176940918,72.0
tretsomshop.nl,SUCCESS,145.24173736572266,74.0
gba4iosapp.com,SUCCESS,165.06266593933105,74.0
