domain,status,latency_ms,frame_len
tuhafhaberler.com,SUCCESS,174.20411109924316,77.0
rtsab.com,SUCCESS,153.5663604736328,69.0
i-butterfly.ru,SUCCESS,157.23633766174316,74.0
datepanchang.com,SUCCESS,171.38910293579102,76.0
localhost.re,SUCCESS,154.4790267944336,72.0
daehepharma.com,SUCCESS,158.77747535705566,75.0
ex-jw.org,SUCCESS,167.35482215881348,69.0
us.tf,SUCCESS,158.4608554840088,65.0
informarexresistere.fr,SUCCESS,154.91771697998047,82.0
running-sigi.de,SUCCESS,154.87074851989746,75.0
buynowfromusa.com,SUCCESS,160.86792945861816,77.0
pbprofile.com,SUCCESS,182.07621574401855,73.0
fini.net,SUCCESS,168.25604438781738,68.0
globalpoliticalspectrum.com,SUCCESS,155.77936172485352,87.0
41latitude.com,SUCCESS,157.41729736328125,74.0
zzxu.cn,SUCCESS,175.57358741760254,67.0
energybulbs.co.uk,SUCCESS,158.7684154510498,77.0
o-ov.com,SUCCESS,163.54012489318848,68.0
lozo.com,SUCCESS,157.8505039215088,68.0
tottenhamhk.com,SUCCESS,175.39286613464355,75.0
newstetic.com,SUCCESS,156.9373607635498,73.0
triggerfish.se,SUCCESS,168.9918041229248,74.0
reprosystems.ru,SUCCESS,157.58633613586426,75.0
interfloracentral.co.uk,SUCCESS,162.6303195953369,83.0
afairjudgement.com,SUCCESS,159.05213356018066,78.0
owlcreek.com,SUCCESS,156.53443336486816,72.0
radioterminal.ru,SUCCESS,160.80689430236816,76.0
junio.com,SUCCESS,167.5128936767578,69.0
ditrblog.com,SUCCESS,157.46068954467773,72.0
alchemedialtd.com,SUCCESS,174.63135719299316,77.0
portclydegeneralstore.com,SUCCESS,158.95843505859375,85.0
alenpuaca.com,SUCCESS,166.1231517791748,73.0
dj-producer-j-mbargo.com,SUCCESS,161.20624542236328,84.0
iag-inc.com,SUCCESS,156.6178798675537,71.0
advertos.ru,SUCCESS,159.9586009979248,71.0
kh.ua,SUCCESS,162.80627250671387,65.0
kennethehartman.com,SUCCESS,159.90686416625977,79.0
hemcolubricants.com,SUCCESS,157.5467586517334,79.0
forpsi.net,SUCCESS,157.96422958374023,70.0
memeblender.com,SUCCESS,158.19931030273438,75.0
somode.com,SUCCESS,154.18577194213867,70.0
gamemob.com,SUCCESS,176.896333694458,71.0
monsterhomesecuritystore.com,SUCCESS,170.58801651000977,88.0
door2games.com,SUCCESS,159.7895622253418,74.0
ondemandappliancerepair.com,SUCCESS,157.85551071166992,87.0
gensee.com,FAILED,3020.332098007202,70.0
caricsports.com,SUCCESS,157.20582008361816,75.0
auqzzx.com,SUCCESS,157.73344039916992,70.0
toaskfuture.com,SUCCESS,161.03506088256836,75.0
cetsi.fr,SUCCESS,173.4933853149414,68.0
probigbets.com,SUCCESS,172.88446426391602,74.0
bikesandtransit.com,SUCCESS,165.75264930725098,79.0
aqvr.com,SUCCESS,154.7098159790039,68.0
niceinternetmoney.ru,SUCCESS,155.75718879699707,80.0
chonvn.com,SUCCESS,157.2251319885254,70.0
eugenbotnar.com,SUCCESS,160.54034233093262,75.0
phi-pe.com,SUCCESS,155.4727554321289,70.0
chuamatsua.com,SUCCESS,155.00950813293457,74.0
pictures-thailand.com,SUCCESS,156.52990341186523,81.0
2brightsparks.co.uk,SUCCESS,154.84213829040527,79.0
astrumonline.ru,SUCCESS,156.58855438232422,75.0
blueridgelife.com,SUCCESS,156.56208992004395,77.0
mwzip.com,SUCCESS,156.74185752868652,69.0
gusbi.com,SUCCESS,156.91256523132324,69.0
simternet.com,SUCCESS,156.0368537902832,73.0
khsm.ru,SUCCESS,168.50733757019043,67.0
livelinks.com,SUCCESS,164.37864303588867,73.0
jantv.in,SUCCESS,171.09036445617676,68.0
hornil.com,SUCCESS,154.47235107421875,70.0
7dfps.com,SUCCESS,171.1423397064209,69.0
luckypuppygames.com,SUCCESS,159.35873985290527,79.0
b-matrix.com,SUCCESS,173.4325885772705,72.0
coutureauchocolat.com,SUCCESS,161.07821464538574,81.0
afresnohomeinspector.com,SUCCESS,168.6563491821289,84.0
pieceinch.com,SUCCESS,170.23921012878418,73.0
australiatradenow.com,SUCCESS,171.9968318939209,81.0
diamondknot.com,SUCCESS,162.1694564819336,75.0
amorefieldlife.com,SUCCESS,154.97207641601562,78.0
sheltercoveinn.com,SUCCESS,168.59698295593262,78.0
wrestlingfanssuck.com,SUCCESS,166.9027805328369,81.0
sdccdonline.net,SUCCESS,158.10585021972656,75.0
autofirenze.biz,SUCCESS,154.08849716186523,75.0
house-sg.com,SUCCESS,171.50044441223145,72.0
camcard.com,SUCCESS,161.24463081359863,71.0
ppsuika.ac.id,SUCCESS,165.14086723327637,73.0
healthnews4you.com,SUCCESS,160.06064414978027,78.0
stunninggirls.net,SUCCESS,186.73968315124512,77.0
kathihill.com,SUCCESS,166.08929634094238,73.0
linksplash.info,SUCCESS,155.42936325073242,75.0
group14eng.com,SUCCESS,153.40328216552734,74.0
shqqaa.com,SUCCESS,158.67042541503906,70.0
mesites.co.za,SUCCESS,153.26690673828125,73.0
progettogiovani.pd.it,SUCCESS,159.24787521362305,81.0
uahoy.net,SUCCESS,159.7115993499756,69.0
retiragroup.com,SUCCESS,159.4991683959961,75.0
effexdjs.com,SUCCESS,157.76896476745605,72.0
mysearch-online.com,SUCCESS,177.05106735229492,79.0
asadventure.com,SUCCESS,159.63149070739746,75.0
michiganbulb.com,SUCCESS,171.83518409729004,76.0
shivalikprints.com,SUCCESS,174.2227077484131,78.0
