domain,status,latency_ms,frame_len
tenant-internet.com,SUCCESS,164.81947898864746,79.0
gadanguides.com,SUCCESS,162.30010986328125,75.0
charityjob.co.uk,SUCCESS,165.69781303405762,76.0
sarahpartridge.net,SUCCESS,163.90657424926758,78.0
ecolems.com,SUCCESS,171.96941375732422,71.0
marilynlingerie.com,SUCCESS,165.57645797729492,79.0
anvilnetworksolutions.net,SUCCESS,170.27974128723145,85.0
cdmail.fr,SUCCESS,175.09078979492188,69.0
freeditorial.com,SUCCESS,162.54544258117676,76.0
ciber.com,SUCCESS,168.46323013305664,69.0
get-webby.com,SUCCESS,177.85954475402832,73.0
gadgetgearpro.com,SUCCESS,174.4372844696045,77.0
sonoma-marinfair.org,SUCCESS,161.99731826782227,80.0
ishidatic.com,SUCCESS,160.97712516784668,73.0
minecraftserverdeals.com,SUCCESS,162.4910831451416,84.0
romney.com,SUCCESS,177.64639854431152,70.0
bookingnest.com,SUCCESS,162.98604011535645,75.0
metar.gr,SUCCESS,165.52281379699707,68.0
bigliettieventi.info,SUCCESS,177.5670051574707,80.0
asseenontvlaunchpad.com,SUCCESS,162.37592697143555,83.0
ftf.com,SUCCESS,178.44033241271973,67.0
polymth.com,SUCCESS,178.99799346923828,71.0
crsgfk.de,SUCCESS,161.05222702026367,69.0
urbannetwork.co.uk,SUCCESS,175.5208969116211,78.0
synrc.com,SUCCESS,165.84086418151855,69.0
callcomm.info,SUCCESS,161.94939613342285,73.0
ceskykutil.cz,SUCCESS,162.57858276367188,73.0
ximangquantrieu.com,SUCCESS,172.3787784576416,79.0
shishioh.info,SUCCESS,191.38121604919434,73.0
vpndefender.com,SUCCESS,177.64997482299805,75.0
hutago.com,SUCCESS,166.05091094970703,70.0
tangkas888.com,SUCCESS,177.21891403198242,74.0
egov.sy,SUCCESS,175.3530502319336,67.0
abmcare.com,SUCCESS,162.76907920837402,71.0
iael.com,SUCCESS,160.97474098205566,68.0
sailor.pl,SUCCESS,163.40017318725586,69.0
skyhightmatter.info,SUCCESS,163.8803482055664,79.0
autopareri.com,SUCCESS,161.3163948059082,74.0
cia.it,SUCCESS,169.6314811706543,66.0
texasbeyondhistory.net,SUCCESS,166.05901718139648,82.0
gardenofwords.com,SUCCESS,166.92638397216797,77.0
giuseppelivraghi.it,SUCCESS,168.0154800415039,79.0
hdcric.com,SUCCESS,160.96138954162598,70.0
chekiang.info,SUCCESS,163.4681224822998,73.0
archiportale.com,SUCCESS,160.67910194396973,76.0
de.vu,SUCCESS,171.86379432678223,65.0
teachmyass.info,SUCCESS,165.9853458404541,75.0
nasaspaceflight.com,SUCCESS,171.59342765808105,79.0
consumerreviews24.com,SUCCESS,167.79065132141113,81.0
dilw.ie,SUCCESS,164.17980194091797,67.0
bbqinjector.com,SUCCESS,163.71512413024902,75.0
gxjbsj.com,SUCCESS,160.9795093536377,70.0
fmnara.com,SUCCESS,162.14585304260254,70.0
pet-connect.ru,SUCCESS,162.614107131958,74.0
synchchaos.com,SUCCESS,172.42121696472168,74.0
uca.edu,SUCCESS,170.7608699798584,67.0
oaister.org,SUCCESS,165.1175022125244,71.0
chenghuavideo.asia,SUCCESS,162.37473487854004,78.0
video-peche-poisson.fr,SUCCESS,160.33339500427246,82.0
currencyrates.org,SUCCESS,162.17279434204102,77.0
zpav.pl,SUCCESS,171.4954376220703,67.0
tawali.com,SUCCESS,165.8153533935547,70.0
dock2office.com,SUCCESS,160.77899932861328,75.0
vlielandoutdoorcenter.nl,SUCCESS,173.85220527648926,84.0
gregginn.com,SUCCESS,160.01033782958984,72.0
arcoat.com,SUCCESS,161.68761253356934,70.0
cushinglawoffices.com,SUCCESS,161.7414951324463,81.0
eggcityradio.com,SUCCESS,162.703275680542,76.0
michaelbyers.org,SUCCESS,182.13868141174316,76.0
stkpro.ru,SUCCESS,175.9967803955078,69.0
silveropt.ru,SUCCESS,161.5612506866455,72.0
topbarbee.com,SUCCESS,162.09959983825684,73.0
teleskill.it,SUCCESS,165.59696197509766,72.0
virtualjerusalem.com,SUCCESS,160.65168380737305,80.0
morban.co.uk,SUCCESS,173.8593578338623,72.0
mechachal.org,SUCCESS,164.8731231689453,73.0
noblewomanhood.com,SUCCESS,169.94929313659668,78.0
cosmeticaestheticsurgery.com,SUCCESS,166.88990592956543,88.0
note-so-easy.co.za,SUCCESS,165.632963180542,78.0
vietcapitaltour.com,SUCCESS,163.51723670959473,79.0
ncees.org,SUCCESS,170.43042182922363,69.0
laigang001.com,SUCCESS,163.54060173034668,74.0
verlockeshop.de,SUCCESS,164.18814659118652,75.0
clickdownloadfiles.com,SUCCESS,161.15784645080566,82.0
e-hps.com,SUCCESS,178.92765998840332,69.0
drglendza.co.rs,SUCCESS,166.58806800842285,75.0
ghimpele.ro,SUCCESS,163.0270481109619,71.0
pahibu.net,SUCCESS,159.83200073242188,70.0
trackcheatingspouse.com,SUCCESS,173.94065856933594,83.0
dricom-hosting.nl,SUCCESS,171.01788520812988,77.0
medipacademy.com,SUCCESS,175.46701431274414,76.0
e-daily.gr,SUCCESS,160.7959270477295,70.0
cuteteenschoolgirlz.com,SUCCESS,160.2306365966797,83.0
hralda.info,SUCCESS,176.6219139099121,71.0
sendrakhizonline.com,SUCCESS,176.44071578979492,80.0
hayalforum.net,SUCCESS,177.31761932373047,74.0
begleyhutton.com,SUCCESS,165.5137538909912,76.0
bmw-parts.ru,SUCCESS,164.26873207092285,72.0
rterc.in,SUCCESS,162.1246337890625,68.0
monitis.com,SUCCESS,163.33317756652832,71.0
