domain,status,query_time_ms,resolver_ip,recursion_desired,answers
wpad,NXDOMAIN,38.109,8.8.8.8,true,
wpad,NXDOMAIN,35.691,8.8.8.8,true,
wpad,NXDOMAIN,38.058,8.8.8.8,true,
wpad,NXDOMAIN,38.226,8.8.8.8,true,
tenant-internet.com,NXDOMAIN,41.236,8.8.8.8,true,
gadanguides.com,NOERROR,37.252,8.8.8.8,true,93.188.2.51
charityjob.co.uk,NOERROR,37.743,8.8.8.8,true,172.67.64.72;104.24.145.14;104.24.144.14
sarahpartridge.net,NXDOMAIN,51.117,8.8.8.8,true,
ecolems.com,NOERROR,101.346,8.8.8.8,true,51.103.54.68
marilynlingerie.com,NXDOMAIN,40.859,8.8.8.8,true,
anvilnetworksolutions.net,NOERROR,304.828,8.8.8.8,true,217.160.0.13
cdmail.fr,NOERROR,36.953,8.8.8.8,true,5.196.212.149
freeditorial.com,NOERROR,271.487,8.8.8.8,true,51.178.246.100
ciber.com,NOERROR,36.651,8.8.8.8,true,103.247.209.15
get-webby.com,NXDOMAIN,97.424,8.8.8.8,true,
gadgetgearpro.com,NXDOMAIN,41.054,8.8.8.8,true,
sonoma-marinfair.org,NOERROR,103.698,8.8.8.8,true,104.21.34.187;172.67.163.188
ishidatic.com,NOERROR,38.720,8.8.8.8,true,15.197.172.60
wpad,NXDOMAIN,38.569,8.8.8.8,true,
wpad,NXDOMAIN,38.619,8.8.8.8,true,
wpad,NXDOMAIN,39.221,8.8.8.8,true,
wpad,NXDOMAIN,40.052,8.8.8.8,true,
minecraftserverdeals.com,NOERROR,277.234,8.8.8.8,true,172.67.129.48;104.21.1.113
wpad,NXDOMAIN,38.762,8.8.8.8,true,
wpad,NXDOMAIN,38.840,8.8.8.8,true,
wpad,NXDOMAIN,38.821,8.8.8.8,true,
wpad,NXDOMAIN,38.576,8.8.8.8,true,
romney.com,NOERROR,35.670,8.8.8.8,true,208.91.197.27
gmxwnlajnl,NXDOMAIN,39.524,8.8.8.8,true,
djoncbjcmv,NXDOMAIN,39.537,8.8.8.8,true,
mptrmkwart,NXDOMAIN,40.259,8.8.8.8,true,
djoncbjcmv,NXDOMAIN,39.711,8.8.8.8,true,
gmxwnlajnl,NXDOMAIN,37.293,8.8.8.8,true,
mptrmkwart,NXDOMAIN,36.169,8.8.8.8,true,
bookingnest.com,NOERROR,315.677,8.8.8.8,true,76.223.54.146;13.248.169.48
metar.gr,NOERROR,207.175,8.8.8.8,true,75.119.133.58
bigliettieventi.info,NXDOMAIN,388.685,8.8.8.8,true,
asseenontvlaunchpad.com,NXDOMAIN,40.311,8.8.8.8,true,
ftf.com,NOERROR,66.221,8.8.8.8,true,23.227.38.65
polymth.com,NOERROR,45.154,8.8.8.8,true,104.21.57.169;172.67.147.218
crsgfk.de,NXDOMAIN,336.826,8.8.8.8,true,
urbannetwork.co.uk,NOERROR,99.784,8.8.8.8,true,85.92.70.198
synrc.com,NOERROR,50.844,8.8.8.8,true,172.67.185.234;104.21.40.117
callcomm.info,NXDOMAIN,39.035,8.8.8.8,true,
ceskykutil.cz,NOERROR,445.694,8.8.8.8,true,80.211.205.242
ximangquantrieu.com,NOERROR,159.855,8.8.8.8,true,123.31.17.119
shishioh.info,NOERROR,35.618,8.8.8.8,true,219.94.162.166
vpndefender.com,NOERROR,46.187,8.8.8.8,true,34.234.125.61;54.224.56.57
hutago.com,NOERROR,174.753,8.8.8.8,true,118.27.125.209
tangkas888.com,NOERROR,44.819,8.8.8.8,true,104.21.7.113;172.67.130.50
egov.sy,NOERROR,360.183,8.8.8.8,true,185.216.134.58
abmcare.com,NOERROR,276.100,8.8.8.8,true,104.18.11.144;104.18.10.144
wpad,NXDOMAIN,37.268,8.8.8.8,true,
wpad,NXDOMAIN,36.920,8.8.8.8,true,
wpad,NXDOMAIN,43.864,8.8.8.8,true,
wpad,NXDOMAIN,38.042,8.8.8.8,true,
isilon,NXDOMAIN,35.992,8.8.8.8,true,
isilon,NXDOMAIN,38.445,8.8.8.8,true,
isilon,NXDOMAIN,37.135,8.8.8.8,true,
isilon,NXDOMAIN,37.873,8.8.8.8,true,
iael.com,NOERROR,160.875,8.8.8.8,true,139.162.174.209;172.104.149.86;139.162.181.76;172.104.251.198
sailor.pl,NOERROR,408.781,8.8.8.8,true,88.99.19.146
skyhightmatter.info,NXDOMAIN,328.623,8.8.8.8,true,
autopareri.com,NOERROR,36.183,8.8.8.8,true,147.93.94.216
cia.it,NOERROR,385.497,8.8.8.8,true,54.228.218.49;3.248.13.228
texasbeyondhistory.net,NOERROR,630.267,8.8.8.8,true,146.6.162.220
gardenofwords.com,NOERROR,270.717,8.8.8.8,true,192.0.78.25;192.0.78.24
