domain,status,query_time_ms,resolver_ip,recursion_desired,answers
wpad,NXDOMAIN,30.296,8.8.8.8,true,
wpad,NXDOMAIN,31.998,8.8.8.8,true,
wpad,NXDOMAIN,32.339,8.8.8.8,true,
wpad,NXDOMAIN,34.081,8.8.8.8,true,
tuhafhaberler.com,NXDOMAIN,37.329,8.8.8.8,true,
rtsab.com,NOERROR,387.195,8.8.8.8,true,
i-butterfly.ru,NOERROR,423.766,8.8.8.8,true,104.21.88.172;172.67.151.138
datepanchang.com,NOERROR,139.436,8.8.8.8,true,13.75.93.156
localhost.re,NOERROR,44.821,8.8.8.8,true,104.21.50.127;172.67.163.57
daehepharma.com,NOERROR,191.473,8.8.8.8,true,
ex-jw.org,NOERROR,270.543,8.8.8.8,true,185.230.63.171;185.230.63.186;185.230.63.107
us.tf,TIMEOUT,0.000,1.1.1.1,true,
informarexresistere.fr,NOERROR,401.070,8.8.8.8,true,178.32.143.165
running-sigi.de,NXDOMAIN,95.565,8.8.8.8,true,
wpad,NXDOMAIN,34.902,8.8.8.8,true,
wpad,NXDOMAIN,34.198,8.8.8.8,true,
wpad,NXDOMAIN,32.305,8.8.8.8,true,
wpad,NXDOMAIN,31.906,8.8.8.8,true,
buynowfromusa.com,NOERROR,37.396,8.8.8.8,true,35.223.118.1
pbprofile.com,NXDOMAIN,39.368,8.8.8.8,true,
wpad,NXDOMAIN,35.722,8.8.8.8,true,
wpad,NXDOMAIN,34.879,8.8.8.8,true,
wpad,NXDOMAIN,33.059,8.8.8.8,true,
wpad,NXDOMAIN,34.591,8.8.8.8,true,
fini.net,NOERROR,33.850,8.8.8.8,true,198.57.192.137
gmxwnlajnl,NXDOMAIN,34.754,8.8.8.8,true,
djoncbjcmv,NXDOMAIN,35.594,8.8.8.8,true,
mptrmkwart,NXDOMAIN,33.759,8.8.8.8,true,
djoncbjcmv,NXDOMAIN,30.768,8.8.8.8,true,
gmxwnlajnl,NXDOMAIN,33.351,8.8.8.8,true,
mptrmkwart,NXDOMAIN,32.362,8.8.8.8,true,
globalpoliticalspectrum.com,NXDOMAIN,95.930,8.8.8.8,true,
41latitude.com,NOERROR,65.716,8.8.8.8,true,
zzxu.cn,NOERROR,393.827,8.8.8.8,true,
energybulbs.co.uk,NOERROR,376.978,8.8.8.8,true,23.227.38.32
o-ov.com,SERVFAIL,159.698,8.8.8.8,true,
lozo.com,NOERROR,40.048,8.8.8.8,true,107.21.144.47;34.192.96.224
tottenhamhk.com,NXDOMAIN,38.459,8.8.8.8,true,
newstetic.com,NOERROR,42.728,8.8.8.8,true,172.67.131.89;104.21.3.241
triggerfish.se,NOERROR,367.679,8.8.8.8,true,162.159.134.42;162.159.135.42
reprosystems.ru,NOERROR,426.490,8.8.8.8,true,104.21.59.11;172.67.167.102
interfloracentral.co.uk,NOERROR,729.084,8.8.8.8,true,217.69.32.44
afairjudgement.com,NOERROR,98.609,8.8.8.8,true,104.21.56.56;172.67.178.132
owlcreek.com,NOERROR,34.429,8.8.8.8,true,205.178.189.129
radioterminal.ru,NOERROR,622.904,8.8.8.8,true,188.225.40.161
junio.com,NOERROR,332.597,8.8.8.8,true,209.196.144.25
ditrblog.com,NXDOMAIN,35.185,8.8.8.8,true,
wpad,NXDOMAIN,31.454,8.8.8.8,true,
wpad,NXDOMAIN,37.404,8.8.8.8,true,
wpad,NXDOMAIN,33.376,8.8.8.8,true,
wpad,NXDOMAIN,31.063,8.8.8.8,true,
isilon,NXDOMAIN,31.221,8.8.8.8,true,
isilon,NXDOMAIN,31.306,8.8.8.8,true,
isilon,NXDOMAIN,31.036,8.8.8.8,true,
isilon,NXDOMAIN,32.309,8.8.8.8,true,
alchemedialtd.com,NOERROR,32.605,8.8.8.8,true,68.66.224.29
portclydegeneralstore.com,NOERROR,104.150,8.8.8.8,true,198.49.23.144;198.185.159.145;198.185.159.144;198.49.23.145
alenpuaca.com,NOERROR,294.151,8.8.8.8,true,67.205.28.253
dj-producer-j-mbargo.com,NXDOMAIN,41.109,8.8.8.8,true,
iag-inc.com,NOERROR,275.029,8.8.8.8,true,103.224.182.253
advertos.ru,NOERROR,785.347,8.8.8.8,true,45.92.176.75
kh.ua,NOERROR,33.743,8.8.8.8,true,195.69.185.211
kennethehartman.com,NOERROR,37.676,8.8.8.8,true,192.0.78.24;192.0.78.25
hemcolubricants.com,NOERROR,34.383,8.8.8.8,true,194.9.94.85;194.9.94.86
forpsi.net,NOERROR,328.630,8.8.8.8,true,85.255.6.237
memeblender.com,NOERROR,43.042,8.8.8.8,true,172.67.136.240;104.21.7.158
somode.com,NXDOMAIN,34.831,8.8.8.8,true,
gamemob.com,NOERROR,157.971,8.8.8.8,true,3.33.130.190;15.197.148.33
monsterhomesecuritystore.com,NXDOMAIN,42.524,8.8.8.8,true,
door2games.com,NOERROR,158.343,8.8.8.8,true,160.153.0.43
ondemandappliancerepair.com,NOERROR,34.697,8.8.8.8,true,74.208.236.102
gensee.com,NOERROR,43.021,8.8.8.8,true,211.150.89.25
caricsports.com,NOERROR,99.383,8.8.8.8,true,104.21.51.12;172.67.216.98
auqzzx.com,NXDOMAIN,42.135,8.8.8.8,true,
toaskfuture.com,NOERROR,287.001,8.8.8.8,true,119.18.54.195
cetsi.fr,NOERROR,32.550,8.8.8.8,true,91.151.64.24
probigbets.com,NXDOMAIN,39.342,8.8.8.8,true,
bikesandtransit.com,NOERROR,41.296,8.8.8.8,true,192.0.78.25;192.0.78.24
aqvr.com,NOERROR,262.656,8.8.8.8,true,89.117.19.57
niceinternetmoney.ru,NXDOMAIN,771.074,8.8.8.8,true,
isatap,NXDOMAIN,31.751,8.8.8.8,true,
isatap,NXDOMAIN,32.488,8.8.8.8,true,
isatap,NXDOMAIN,31.726,8.8.8.8,true,
isatap,NXDOMAIN,32.566,8.8.8.8,true,
chonvn.com,NXDOMAIN,37.409,8.8.8.8,true,
eugenbotnar.com,NXDOMAIN,39.041,8.8.8.8,true,
phi-pe.com,NXDOMAIN,37.498,8.8.8.8,true,
chuamatsua.com,SERVFAIL,179.015,8.8.8.8,true,
pictures-thailand.com,NOERROR,31.656,8.8.8.8,true,66.96.149.1
wpad,NXDOMAIN,30.312,8.8.8.8,true,
wpad,NXDOMAIN,31.582,8.8.8.8,true,
wpad,NXDOMAIN,31.035,8.8.8.8,true,
wpad,NXDOMAIN,30.891,8.8.8.8,true,
2brightsparks.co.uk,NOERROR,36.831,8.8.8.8,true,143.204.55.44;143.204.55.11;143.204.55.7;143.204.55.129
astrumonline.ru,NOERROR,1030.480,8.8.8.8,true,217.69.136.59
blueridgelife.com,NOERROR,34.960,8.8.8.8,true,192.124.249.6
mwzip.com,NOERROR,39.985,8.8.8.8,true,172.67.194.102;104.21.20.205
gusbi.com,NOERROR,32.935,8.8.8.8,true,185.145.195.19
simternet.com,NOERROR,38.630,8.8.8.8,true,15.197.225.128;3.33.251.168
khsm.ru,NOERROR,32.678,8.8.8.8,true,91.247.37.5
livelinks.com,NOERROR,130.283,8.8.8.8,true,108.158.61.13;108.158.61.76;108.158.61.89;108.158.61.12
jantv.in,NOERROR,36.072,8.8.8.8,true,172.67.132.252;104.21.5.51
hornil.com,NOERROR,180.800,8.8.8.8,true,183.111.138.226
7dfps.com,NOERROR,43.603,8.8.8.8,true,172.67.161.32;104.21.9.172
luckypuppygames.com,NOERROR,522.677,8.8.8.8,true,172.233.219.78;172.237.146.8;172.233.219.49;172.237.146.38;172.237.146.25;172.233.219.123
b-matrix.com,NOERROR,99.325,8.8.8.8,true,137.135.108.176
coutureauchocolat.com,NXDOMAIN,36.478,8.8.8.8,true,
afresnohomeinspector.com,NOERROR,648.755,8.8.8.8,true,67.225.203.79
pieceinch.com,NOERROR,42.266,8.8.8.8,true,172.67.201.136;104.21.66.64
australiatradenow.com,NOERROR,39.775,8.8.8.8,true,52.77.97.73;52.221.30.142
diamondknot.com,NOERROR,101.224,8.8.8.8,true,198.49.23.145;198.185.159.144;198.49.23.144;198.185.159.145
amorefieldlife.com,NOERROR,31.842,8.8.8.8,true,162.241.226.124
sheltercoveinn.com,NOERROR,279.479,8.8.8.8,true,
wrestlingfanssuck.com,NOERROR,33.736,8.8.8.8,true,62.149.128.40
sdccdonline.net,NOERROR,31.795,8.8.8.8,true,209.129.16.41
autofirenze.biz,NOERROR,34.744,8.8.8.8,true,89.46.109.17
wpad,NXDOMAIN,30.641,8.8.8.8,true,
wpad,NXDOMAIN,30.824,8.8.8.8,true,
wpad,NXDOMAIN,30.817,8.8.8.8,true,
wpad,NXDOMAIN,30.204,8.8.8.8,true,
