domain,status,query_time_ms,resolver_ip,answers
oneworldinfo.com,NOERROR,61.077,8.8.8.8,13.223.25.84;54.243.117.197
7apcrshrmanila.org,NXDOMAIN,58.669,8.8.8.8,
ilikecrochet.com,NOERROR,69.414,8.8.8.8,192.124.249.58
closerdiets.com,NOERROR,64.987,8.8.8.8,5.22.145.16;5.22.145.121
myface.com,NOERROR,68.167,8.8.8.8,
megi.cz,NOERROR,185.101,8.8.8.8,45.138.107.19;45.138.107.20
pces.in,NOERROR,69.216,8.8.8.8,195.35.44.242
originalmagicart.com,NOERROR,62.105,8.8.8.8,15.197.225.128;3.33.251.168
godo.co.kr,NOERROR,186.015,8.8.8.8,180.210.81.80
ugotrelis.com,NOERROR,431.708,8.8.8.8,213.186.33.82
alb-automobiles.com,NXDOMAIN,123.299,8.8.8.8,
ok-magazine.ru,NOERROR,470.654,8.8.8.8,188.124.32.70
wiltpr.com,NXDOMAIN,67.676,8.8.8.8,
dmg-dental.com,NOERROR,99.659,8.8.8.8,49.13.234.53
silkroadtours.com,NOERROR,184.010,8.8.8.8,23.236.62.147
rositehost.com,NOERROR,450.409,8.8.8.8,178.157.78.2
livescan4all.com,NOERROR,61.305,8.8.8.8,149.20.203.54
oberandsons.com,NOERROR,397.430,8.8.8.8,34.128.166.114
celerity.com,NOERROR,58.926,8.8.8.8,35.188.214.201
miscellaneousheathen.com,NOERROR,223.375,8.8.8.8,75.127.72.229
rolflouisville.com,NOERROR,58.391,8.8.8.8,208.88.75.191
jacquelinemertz.ch,NXDOMAIN,58.104,8.8.8.8,
gaplex.biz,NXDOMAIN,59.584,8.8.8.8,
frasesdemotivacao.net,NXDOMAIN,63.577,8.8.8.8,
divefishhouse.com,NXDOMAIN,63.446,8.8.8.8,
stark.dk,NOERROR,129.015,8.8.8.8,20.50.2.80
xxx-muschis.de,NXDOMAIN,126.602,8.8.8.8,
florenseusa.com,NOERROR,128.997,8.8.8.8,34.95.203.179
