domain,status,query_time_ms,resolver_ip,answers
gustissimo.it,NOERROR,64.058,8.8.8.8,178.255.74.133;178.255.74.104;178.255.74.135
auto-klad.ru,NOERROR,1361.106,8.8.8.8,62.122.170.171
iointegrators.com,NOERROR,89.233,8.8.8.8,76.120.251.25
daytimeghosthunter.com,NXDOMAIN,62.092,8.8.8.8,
sapendolo.it,SERVFAIL,61.056,8.8.8.8,
saharaimport.com,NOERROR,58.384,8.8.8.8,176.9.116.24
ngoanhien.com,NXDOMAIN,63.293,8.8.8.8,
itgeorgia.co,NOERROR,58.371,8.8.8.8,64.98.135.85
myfantasticpark.es,NOERROR,331.219,8.8.8.8,89.31.143.90
vinayaprabha.com,NOERROR,124.781,8.8.8.8,185.230.63.171;185.230.63.186;185.230.63.107
sitiweb.us,NOERROR,57.507,8.8.8.8,136.243.45.246
contentremarketing.com,NOERROR,387.541,8.8.8.8,216.10.240.70
videofun.me,NOERROR,84.957,8.8.8.8,
breezelaw.com,NOERROR,59.591,8.8.8.8,13.248.169.48;76.223.54.146
ranocchi.it,NOERROR,58.139,8.8.8.8,52.18.99.110
22hotmail.com,NOERROR,58.670,8.8.8.8,20.236.44.162;20.76.201.171;20.231.239.246;20.112.250.133;20.70.246.20
ana-sofia.pt,NOERROR,62.499,8.8.8.8,185.32.190.38
abhair.com,NOERROR,59.779,8.8.8.8,23.227.38.32
tripladoppia.com,NXDOMAIN,63.281,8.8.8.8,
gardeninginflorida.com,NOERROR,125.756,8.8.8.8,76.223.67.189;13.248.213.45
thepropertyvault.co.uk,NOERROR,119.155,8.8.8.8,76.223.67.189;13.248.213.45
viahttps.com,NOERROR,57.986,8.8.8.8,64.251.0.59
adverman.com,NOERROR,434.013,8.8.8.8,77.87.198.232
majorleaguelacrosse.com,NOERROR,63.540,8.8.8.8,172.67.170.123;104.21.87.175
rubenquinones.com,NOERROR,57.634,8.8.8.8,15.197.225.128;3.33.251.168
kanoon-ansar.org,NOERROR,60.705,8.8.8.8,194.59.214.75
arrabonet.hu,NOERROR,434.974,8.8.8.8,213.163.44.68
wordai.com,NOERROR,65.418,8.8.8.8,23.111.159.202
muhammedmusa.com,NXDOMAIN,66.598,8.8.8.8,
freepornvideosx.com,NXDOMAIN,119.689,8.8.8.8,
120shenbing.com,NXDOMAIN,66.197,8.8.8.8,
onetoshop.nl,NOERROR,65.448,8.8.8.8,35.204.76.89
meditekyazilim.net,NOERROR,454.515,8.8.8.8,185.95.3.218
theexoticpersian.com,NXDOMAIN,61.506,8.8.8.8,
boh10suphanburi.com,NXDOMAIN,64.126,8.8.8.8,
overseasmedical.com,NOERROR,418.899,8.8.8.8,213.123.239.55
grandcanyongrandhotel.com,NOERROR,67.560,8.8.8.8,142.44.217.176
boneshoppe.com,NXDOMAIN,64.664,8.8.8.8,
sweathelp.org,NOERROR,59.779,8.8.8.8,107.180.114.231
c0.pl,NOERROR,60.197,8.8.8.8,95.211.144.68
sipflash.com,NOERROR,125.030,8.8.8.8,
koopsmodellbau.de,NOERROR,714.126,8.8.8.8,217.160.0.247
lespetiteschoses.com,NOERROR,58.554,8.8.8.8,23.227.38.65
b2b2c.ca,NOERROR,346.442,8.8.8.8,13.107.246.36
pilsnerurquell.com,NOERROR,64.527,8.8.8.8,93.185.98.138
medintime.ru,NOERROR,65.673,8.8.8.8,172.67.129.206;104.21.2.236
njafe.org,NOERROR,295.145,8.8.8.8,103.224.182.253
djbarryblends.com,NOERROR,62.008,8.8.8.8,54.225.184.165
deine-bahn.de,NOERROR,63.511,8.8.8.8,92.204.239.74
hackthissite.org,NOERROR,62.612,8.8.8.8,137.74.187.100;137.74.187.104;137.74.187.101;137.74.187.103;137.74.187.102
ereadz.com,NXDOMAIN,65.030,8.8.8.8,
gurukulonline.com,NOERROR,61.078,8.8.8.8,13.248.169.48;76.223.54.146
sf-notifications.com,NOERROR,59.786,8.8.8.8,
capequilog.com,NOERROR,1169.999,8.8.8.8,208.94.116.26
greens.my,NOERROR,65.406,8.8.8.8,104.21.4.120;172.67.132.13
2xfzy.com,NOERROR,455.148,8.8.8.8,23.226.181.53
magic-illusion.ru,NOERROR,65.938,8.8.8.8,172.67.132.25;104.21.4.130
irflashgame.com,NXDOMAIN,65.515,8.8.8.8,
solcredito.es,NOERROR,65.633,8.8.8.8,18.239.153.17;18.239.153.67;18.239.153.86;18.239.153.56
go2jump.com,NOERROR,61.439,8.8.8.8,34.175.54.178
millionfareast.com,NOERROR,62.156,8.8.8.8,72.167.243.77
msf.be,NOERROR,59.246,8.8.8.8,77.241.81.151
cellslider.net,NOERROR,73.155,8.8.8.8,20.237.25.126
bhhsneproperties.com,NOERROR,60.008,8.8.8.8,8.43.189.250
skplus.kr,NXDOMAIN,214.647,8.8.8.8,
empclan.com,NOERROR,296.094,8.8.8.8,64.26.30.251
carolgraykennedy.com,NXDOMAIN,65.474,8.8.8.8,
kiyimuzik.com,NOERROR,65.627,8.8.8.8,104.21.63.112;172.67.145.101
yunpda.com,NXDOMAIN,66.997,8.8.8.8,
valdo.com,NOERROR,60.089,8.8.8.8,23.227.38.65
supportpabiomass.org,NOERROR,341.502,8.8.8.8,162.248.51.100
roche-applied-science.com,NOERROR,181.877,8.8.8.8,149.250.245.221
