Label,Total,Success,Failure,Timeouts,Avg Latency (ms),Throughput (qps),Throughput (bps)
h1,162,71,91,1,183.51820015492757,6.906472006469651,0.001455739383613389
h2,162,68,94,0,230.22812729412328,6.90603321087837,0.0014392382537441258
h3,162,72,90,0,214.4630733055774,7.489327721865492,0.0014542833153388635
h4,162,73,89,0,237.18940010958747,6.629460581823836,0.0014581660203588688
