domain,status,query_time_ms,resolver_ip,recursion_desired,answers
wpad,NXDOMAIN,184.234,10.0.0.5,false,
wpad,NXDOMAIN,194.767,10.0.0.5,false,
gustissimo.it,NOERROR,522.303,10.0.0.5,false,178.255.74.135;178.255.74.104;178.255.74.133
wpad,NXDOMAIN,181.629,10.0.0.5,false,
wpad,NXDOMAIN,188.015,10.0.0.5,false,
auto-klad.ru,TIMEOUT,0.000,10.0.0.5,false,
iointegrators.com,NOERROR,403.167,10.0.0.5,false,76.120.251.25
daytimeghosthunter.com,NXDOMAIN,327.505,10.0.0.5,false,
sapendolo.it,NOERROR,1402.529,10.0.0.5,false,
saharaimport.com,NOERROR,531.488,10.0.0.5,false,176.9.116.24
ngoanhien.com,NXDOMAIN,359.863,10.0.0.5,false,
itgeorgia.co,NOERROR,880.239,10.0.0.5,false,64.98.135.85
myfantasticpark.es,NOERROR,596.114,10.0.0.5,false,89.31.143.90
vinayaprabha.com,NOERROR,453.195,10.0.0.5,false,185.230.63.107;185.230.63.171;185.230.63.186
sitiweb.us,NOERROR,585.460,10.0.0.5,false,136.243.45.246
contentremarketing.com,NOERROR,613.100,10.0.0.5,false,216.10.240.70
videofun.me,NOERROR,368.552,10.0.0.5,false,
breezelaw.com,NOERROR,521.584,10.0.0.5,false,76.223.54.146;13.248.169.48
ranocchi.it,NOERROR,534.036,10.0.0.5,false,52.18.99.110
22hotmail.com,NOERROR,356.426,10.0.0.5,false,20.70.246.20;20.236.44.162;20.231.239.246;20.76.201.171;20.112.250.133
ana-sofia.pt,NOERROR,1774.316,10.0.0.5,false,185.32.190.38
abhair.com,TIMEOUT,0.000,10.0.0.5,false,
tripladoppia.com,NXDOMAIN,352.793,10.0.0.5,false,
gardeninginflorida.com,NOERROR,511.813,10.0.0.5,false,76.223.67.189;13.248.213.45
thepropertyvault.co.uk,NOERROR,565.793,10.0.0.5,false,76.223.67.189;13.248.213.45
viahttps.com,TIMEOUT,0.000,10.0.0.5,false,
adverman.com,TIMEOUT,0.000,10.0.0.5,false,
majorleaguelacrosse.com,NOERROR,374.724,10.0.0.5,false,172.67.170.123;104.21.87.175
wpad,NXDOMAIN,199.709,10.0.0.5,false,
wpad,NXDOMAIN,195.201,10.0.0.5,false,
wpad,NXDOMAIN,188.985,10.0.0.5,false,
wpad,NXDOMAIN,198.704,10.0.0.5,false,
rubenquinones.com,NOERROR,508.701,10.0.0.5,false,15.197.225.128;3.33.251.168
wpad,NXDOMAIN,187.848,10.0.0.5,false,
wpad,NXDOMAIN,187.036,10.0.0.5,false,
wpad,NXDOMAIN,184.739,10.0.0.5,false,
wpad,NXDOMAIN,183.101,10.0.0.5,false,
kanoon-ansar.org,NOERROR,376.911,10.0.0.5,false,194.59.214.75
gmxwnlajnl,NXDOMAIN,183.462,10.0.0.5,false,
djoncbjcmv,NXDOMAIN,199.448,10.0.0.5,false,
mptrmkwart,NXDOMAIN,189.316,10.0.0.5,false,
djoncbjcmv,NXDOMAIN,185.071,10.0.0.5,false,
gmxwnlajnl,TIMEOUT,0.000,10.0.0.5,false,
mptrmkwart,NXDOMAIN,196.640,10.0.0.5,false,
arrabonet.hu,NOERROR,398.633,10.0.0.5,false,213.163.44.68
wordai.com,NOERROR,448.131,10.0.0.5,false,23.111.159.202
muhammedmusa.com,NXDOMAIN,330.226,10.0.0.5,false,
freepornvideosx.com,NXDOMAIN,328.367,10.0.0.5,false,
120shenbing.com,NXDOMAIN,347.551,10.0.0.5,false,
onetoshop.nl,NOERROR,307.317,10.0.0.5,false,35.204.76.89
meditekyazilim.net,TIMEOUT,0.000,10.0.0.5,false,
theexoticpersian.com,NXDOMAIN,326.887,10.0.0.5,false,
boh10suphanburi.com,NXDOMAIN,331.693,10.0.0.5,false,
overseasmedical.com,NOERROR,499.138,10.0.0.5,false,213.123.239.55
grandcanyongrandhotel.com,NOERROR,359.004,10.0.0.5,false,142.44.217.176
wpad,NXDOMAIN,194.678,10.0.0.5,false,
wpad,NXDOMAIN,199.461,10.0.0.5,false,
wpad,NXDOMAIN,203.033,10.0.0.5,false,
wpad,NXDOMAIN,200.289,10.0.0.5,false,
isilon,NXDOMAIN,185.291,10.0.0.5,false,
isilon,NXDOMAIN,189.252,10.0.0.5,false,
isilon,NXDOMAIN,183.588,10.0.0.5,false,
isilon,NXDOMAIN,188.203,10.0.0.5,false,
boneshoppe.com,NXDOMAIN,333.103,10.0.0.5,false,
sweathelp.org,NOERROR,464.301,10.0.0.5,false,107.180.114.231
c0.pl,NOERROR,378.525,10.0.0.5,false,95.211.144.68
sipflash.com,NOERROR,465.599,10.0.0.5,false,
koopsmodellbau.de,NOERROR,1786.970,10.0.0.5,false,217.160.0.247
lespetiteschoses.com,NOERROR,414.678,10.0.0.5,false,23.227.38.65
b2b2c.ca,NOERROR,1260.186,10.0.0.5,false,13.107.246.36
pilsnerurquell.com,NOERROR,496.138,10.0.0.5,false,93.185.98.138
medintime.ru,NOERROR,478.630,10.0.0.5,false,172.67.129.206;104.21.2.236
njafe.org,NOERROR,827.493,10.0.0.5,false,103.224.182.253
djbarryblends.com,NOERROR,496.624,10.0.0.5,false,54.225.184.165
deine-bahn.de,NOERROR,552.488,10.0.0.5,false,92.204.239.74
hackthissite.org,NOERROR,1612.955,10.0.0.5,false,137.74.187.103;137.74.187.100;137.74.187.104;137.74.187.102;137.74.187.101
ereadz.com,NXDOMAIN,331.066,10.0.0.5,false,
gurukulonline.com,NOERROR,500.785,10.0.0.5,false,13.248.169.48;76.223.54.146
sf-notifications.com,NOERROR,380.658,10.0.0.5,false,
isatap,NXDOMAIN,184.647,10.0.0.5,false,
isatap,NXDOMAIN,197.218,10.0.0.5,false,
isatap,NXDOMAIN,187.406,10.0.0.5,false,
isatap,NXDOMAIN,224.349,10.0.0.5,false,
capequilog.com,NOERROR,1707.494,10.0.0.5,false,208.94.116.26
