domain,status,query_time_ms,resolver_ip,recursion_desired,answers
wpad,NXDOMAIN,166.172,10.0.0.5,false,
wpad,NXDOMAIN,177.759,10.0.0.5,false,
wpad,NXDOMAIN,164.773,10.0.0.5,false,
wpad,NXDOMAIN,167.845,10.0.0.5,false,
tenant-internet.com,NXDOMAIN,329.500,10.0.0.5,false,
gadanguides.com,NOERROR,1217.907,10.0.0.5,false,93.188.2.51
charityjob.co.uk,NOERROR,425.852,10.0.0.5,false,104.24.144.14;172.67.64.72;104.24.145.14
sarahpartridge.net,NXDOMAIN,315.488,10.0.0.5,false,
ecolems.com,NOERROR,1251.575,10.0.0.5,false,51.103.54.68
marilynlingerie.com,NXDOMAIN,308.020,10.0.0.5,false,
anvilnetworksolutions.net,NOERROR,831.680,10.0.0.5,false,217.160.0.13
cdmail.fr,TIMEOUT,0.000,10.0.0.5,false,
freeditorial.com,TIMEOUT,0.000,10.0.0.5,false,
ciber.com,TIMEOUT,0.000,10.0.0.5,false,
get-webby.com,NXDOMAIN,312.140,10.0.0.5,false,
gadgetgearpro.com,NXDOMAIN,311.657,10.0.0.5,false,
sonoma-marinfair.org,NOERROR,329.993,10.0.0.5,false,172.67.163.188;104.21.34.187
ishidatic.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,NXDOMAIN,164.514,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
minecraftserverdeals.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,NXDOMAIN,164.655,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,NXDOMAIN,167.409,10.0.0.5,false,
wpad,NXDOMAIN,165.713,10.0.0.5,false,
romney.com,NOERROR,600.513,10.0.0.5,false,208.91.197.27
gmxwnlajnl,NXDOMAIN,165.110,10.0.0.5,false,
djoncbjcmv,NXDOMAIN,165.996,10.0.0.5,false,
mptrmkwart,NXDOMAIN,166.934,10.0.0.5,false,
djoncbjcmv,NXDOMAIN,184.196,10.0.0.5,false,
gmxwnlajnl,NXDOMAIN,165.821,10.0.0.5,false,
mptrmkwart,NXDOMAIN,165.834,10.0.0.5,false,
bookingnest.com,NOERROR,497.489,10.0.0.5,false,13.248.169.48;76.223.54.146
metar.gr,NOERROR,716.346,10.0.0.5,false,75.119.133.58
bigliettieventi.info,NXDOMAIN,203.423,10.0.0.5,false,
asseenontvlaunchpad.com,NXDOMAIN,311.862,10.0.0.5,false,
ftf.com,TIMEOUT,0.000,10.0.0.5,false,
polymth.com,NOERROR,342.412,10.0.0.5,false,104.21.57.169;172.67.147.218
crsgfk.de,TIMEOUT,0.000,10.0.0.5,false,
urbannetwork.co.uk,NOERROR,548.285,10.0.0.5,false,85.92.70.198
synrc.com,NOERROR,365.213,10.0.0.5,false,172.67.185.234;104.21.40.117
callcomm.info,NXDOMAIN,205.078,10.0.0.5,false,
ceskykutil.cz,NOERROR,600.850,10.0.0.5,false,80.211.205.242
