domain,status,query_time_ms,resolver_ip,recursion_desired,answers
wpad,NXDOMAIN,147.671,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
likeminded.ca,TIMEOUT,0.000,10.0.0.5,false,
alltransport.ru,TIMEOUT,0.000,10.0.0.5,false,
brown.edu,TIMEOUT,0.000,10.0.0.5,false,
fauzanalfi.com,TIMEOUT,0.000,10.0.0.5,false,
supreetsethi.net,TIMEOUT,0.000,10.0.0.5,false,
gucenmez.com,TIMEOUT,0.000,10.0.0.5,false,
seedy.dk,TIMEOUT,0.000,10.0.0.5,false,
51cdngo.com,TIMEOUT,0.000,10.0.0.5,false,
simple-health-reports.com,NXDOMAIN,296.139,10.0.0.5,false,
hivelocitymedia.com,TIMEOUT,0.000,10.0.0.5,false,
jabeye.org,TIMEOUT,0.000,10.0.0.5,false,
ticketbis.com,NOERROR,1042.049,10.0.0.5,false,
cellularfactory.com,TIMEOUT,0.000,10.0.0.5,false,
tsksv.ru,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
gaybodyblog.com,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
wpad,TIMEOUT,0.000,10.0.0.5,false,
datadikdki.net,TIMEOUT,0.000,10.0.0.5,false,
mumphi.de,TIMEOUT,0.000,10.0.0.5,false,
gmxwnlajnl,NXDOMAIN,305.929,10.0.0.5,false,
djoncbjcmv,TIMEOUT,0.000,10.0.0.5,false,
mptrmkwart,TIMEOUT,0.000,10.0.0.5,false,
djoncbjcmv,TIMEOUT,0.000,10.0.0.5,false,
gmxwnlajnl,TIMEOUT,0.000,10.0.0.5,false,
mptrmkwart,TIMEOUT,0.000,10.0.0.5,false,
brfone.com,TIMEOUT,0.000,10.0.0.5,false,
newpages2u.com,TIMEOUT,0.000,10.0.0.5,false,
bigjournalism.com,TIMEOUT,0.000,10.0.0.5,false,
congsoxanh.com,TIMEOUT,0.000,10.0.0.5,false,
visualtap.com,TIMEOUT,0.000,10.0.0.5,false,
